-40,0,0,0,0,0,0,0,0,0,3,7,14,23,35,41,49,54,58,63,72,73,73,83,86
-39,0,0,0,0,0,0,0,0,1,4,11,19,34,46,58,66,68,75,77,79,79,85,90,94
-38,0,0,0,0,0,0,0,0,1,7,15,24,40,51,64,70,71,82,82,86,85,85,91,92
-37,0,0,0,0,0,0,0,1,1,7,15,27,44,58,69,73,77,78,85,84,87,87,90,92
-36,0,0,0,0,0,0,0,0,2,8,17,30,46,57,73,76,78,84,84,85,90,89,92,95
-35,0,0,0,0,0,0,0,0,2,7,19,34,46,61,69,78,78,80,85,87,88,89,93,94
-34,0,0,0,0,0,0,0,0,2,8,19,33,51,62,71,78,78,84,81,86,89,86,93,94
-33,0,0,0,0,0,0,0,0,2,7,20,34,51,60,70,77,79,79,87,84,89,85,90,93
-32,0,0,0,0,0,0,0,0,1,7,21,34,53,63,72,77,80,82,85,84,86,88,91,94
-31,0,0,0,0,0,0,0,0,2,6,23,37,52,66,72,76,80,80,85,88,86,88,94,93
-30,0,0,0,0,0,0,0,0,2,7,22,37,52,67,71,78,82,83,83,86,85,88,93,94
-29,0,0,0,0,0,0,0,0,2,8,20,40,56,64,72,78,78,84,82,86,87,89,91,91
-28,0,0,0,0,0,0,0,0,1,7,19,41,56,64,74,80,81,83,85,88,85,85,91,94
-27,0,0,0,0,0,0,0,0,2,8,20,38,59,66,71,79,79,83,83,85,90,86,89,95
-26,0,0,0,0,0,0,0,0,2,7,19,40,56,65,71,78,78,82,85,87,87,89,90,94
-25,0,0,0,0,0,0,0,0,2,8,21,39,56,64,70,76,79,82,82,86,86,90,91,94
-24,0,0,0,0,0,0,0,0,3,7,20,38,57,62,72,78,79,83,83,87,85,88,92,93
-23,0,0,0,0,0,0,0,0,2,9,20,36,57,61,71,79,80,83,83,84,88,88,90,93
-22,0,0,0,0,0,0,0,0,2,7,24,36,54,60,71,81,76,82,82,88,90,87,91,92
-21,0,0,0,0,0,0,0,0,2,8,23,39,53,64,72,79,78,81,83,84,86,92,92,93
-20,0,0,0,0,0,0,0,0,1,7,20,39,54,66,74,77,79,84,85,87,88,88,90,92
-19,0,0,0,0,0,0,0,0,2,8,21,42,55,67,72,76,80,84,82,87,87,89,92,93
-18,0,0,0,0,0,0,0,0,2,8,25,39,56,66,71,75,84,81,83,85,89,89,91,95
-17,0,0,0,0,0,0,0,0,2,9,22,38,56,65,70,76,80,81,85,87,87,89,91,92
-16,0,0,0,0,0,0,0,0,2,9,22,37,57,71,73,80,77,83,85,86,88,88,91,93
-15,0,0,0,0,0,0,0,0,2,10,22,38,58,67,75,76,80,79,86,83,86,88,92,95
-14,0,0,0,0,0,0,0,0,2,9,21,39,56,67,75,78,80,83,85,84,90,90,92,93
-13,0,0,0,0,0,0,0,0,1,9,19,38,55,67,72,79,80,82,84,87,88,89,93,94
-12,0,0,0,0,0,0,0,0,2,10,20,39,51,64,73,77,83,83,86,85,85,88,92,94
-11,0,0,0,0,0,0,0,0,0,8,20,38,54,66,70,77,82,81,84,86,86,89,89,94
-10,0,0,0,0,0,0,0,0,2,10,21,42,56,69,69,77,84,84,85,86,87,87,91,94
-9,0,0,0,0,0,0,0,0,2,9,21,40,57,65,72,74,81,84,83,89,87,88,93,94
-8,0,0,0,0,0,0,0,0,2,10,21,40,59,63,72,80,80,80,86,89,88,85,93,94
-7,0,0,0,0,0,0,0,0,3,11,25,38,60,65,72,76,80,82,85,87,86,90,94,95
-6,0,0,0,0,0,0,0,0,3,13,25,41,62,65,72,75,79,81,88,87,88,88,92,96
-5,0,0,0,0,0,0,0,0,4,14,25,48,57,66,75,76,82,83,80,86,87,87,90,94
-4,0,0,0,0,0,0,0,0,5,18,31,48,60,64,75,75,83,80,85,87,87,87,93,94
-3,0,0,0,0,0,0,0,1,6,19,34,53,62,67,75,78,82,85,83,87,89,86,92,94
-2,0,0,0,0,0,0,0,1,8,21,34,57,68,70,76,76,81,84,86,86,87,87,92,93
-1,0,0,0,0,0,0,0,3,11,22,43,60,75,78,81,81,84,85,88,90,89,91,93,95
0,0,0,0,1,1,1,2,5,15,34,57,78,84,88,90,92,91,93,93,94,96,93,96,97
1,0,0,0,0,0,0,0,2,10,25,43,59,71,75,81,82,85,85,85,83,87,85,91,94
2,0,0,0,0,0,0,0,1,8,17,37,54,63,72,75,78,81,82,83,86,89,87,88,94
3,0,0,0,0,0,0,0,1,5,15,32,53,60,70,73,79,84,81,82,83,88,89,91,90
4,0,0,0,0,0,0,0,0,4,12,29,47,61,67,75,80,83,82,85,85,86,88,91,92
5,0,0,0,0,0,0,0,0,3,11,24,46,59,66,74,79,80,82,88,86,88,89,92,91
6,0,0,0,0,0,0,0,0,3,12,26,42,62,68,71,78,77,83,86,84,88,88,91,92
7,0,0,0,0,0,0,0,0,2,10,23,42,57,65,71,76,81,81,84,84,88,90,91,93
8,0,0,0,0,0,0,0,1,3,11,21,41,55,67,73,76,81,83,84,87,86,87,93,93
9,0,0,0,0,0,0,0,0,2,11,18,43,56,67,73,77,82,85,84,85,86,88,90,92
10,0,0,0,0,0,0,0,0,2,9,16,41,53,67,72,76,79,85,83,87,84,92,91,94
11,0,0,0,0,0,0,0,0,2,8,19,42,55,70,73,74,79,85,81,88,86,88,92,95
12,0,0,0,0,0,0,0,0,3,8,19,42,53,66,74,76,79,83,85,86,85,88,92,92
13,0,0,0,0,0,0,0,0,3,10,22,42,54,63,73,77,84,78,85,85,87,88,92,94
14,0,0,0,0,0,0,0,0,1,10,22,40,54,66,73,77,82,83,82,86,87,88,90,94
15,0,0,0,0,0,0,0,0,1,11,22,40,58,63,75,74,82,81,83,86,87,89,93,93
16,0,0,0,0,0,0,0,0,1,9,23,38,51,65,73,78,80,85,85,85,88,89,92,95
17,0,0,0,0,0,0,0,0,1,8,21,38,52,67,71,76,82,83,85,87,87,89,91,92
18,0,0,0,0,0,0,0,0,2,9,21,35,53,64,70,77,82,80,85,88,88,87,92,94
19,0,0,0,0,0,0,0,1,2,9,20,34,54,65,72,77,78,83,85,89,89,87,92,93
20,0,0,0,0,0,0,0,0,2,9,22,39,57,64,73,76,77,87,82,88,87,89,92,93
21,0,0,0,0,0,0,0,0,1,10,21,39,56,63,72,75,83,81,84,87,87,90,91,93
22,0,0,0,0,0,0,0,0,2,8,21,39,56,65,71,78,79,81,84,87,87,88,93,95
23,0,0,0,0,0,0,0,0,1,10,19,42,55,68,73,78,83,83,83,84,85,89,90,93
24,0,0,0,0,0,0,0,0,2,10,18,40,53,68,69,77,83,81,86,85,90,85,92,94
25,0,0,0,0,0,0,0,0,3,10,19,41,54,64,74,80,82,82,88,86,87,88,92,93
26,0,0,0,0,0,0,0,0,2,10,17,41,55,64,71,77,78,81,84,87,87,84,92,92
27,0,0,0,0,0,0,0,0,2,9,17,42,57,63,73,79,79,84,87,88,88,87,95,93
28,0,0,0,0,0,0,0,0,2,9,17,35,57,63,71,76,80,83,87,84,87,87,94,93
29,0,0,0,0,0,0,0,0,2,9,17,35,58,61,70,75,82,80,86,83,86,89,91,92
30,0,0,0,0,0,0,0,0,1,8,19,36,55,60,71,76,81,83,84,84,88,88,91,94
31,0,0,0,0,0,0,0,0,1,8,20,36,54,61,73,77,81,84,82,87,88,90,89,93
32,0,0,0,0,0,0,0,0,1,7,18,36,52,59,73,74,80,85,83,85,89,88,89,94
